Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( n >= ( 0 + x ) && x >= ( n - n ) ) || x == ( 0 - 0 ) ), Passed, Yes, "[Or(x == 0, And(n >= x, x >= 0))]",  10,  174.86
102, fuzz_spec, ( ( x <= 0 || n >= ( x - 0 ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  150.11
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  15,  310.57
104, fuzz_spec, ( x <= ( n * 1 ) || x == ( 0 - 0 ) || ( x <= ( n - n ) && x == ( n - 0 ) ) ), Passed, Yes, "[Or(x <= n, x == 0, And(x <= 0, x == n))]",  11,  209.88
105, fuzz_spec, ( ( x <= 0 || n >= ( x - 0 ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  150.47
10, fuzz_spec, ( y >= ( x - 2 ) && x < ( 4 + y ) && ( y >= ( y * 0 ) || x == ( 4 - x ) ) ), Passed, Yes, "[y >= -2 + x, Not(y <= -4 + x), Or(x == 2, y >= 0)]",  24,  514.45
114, fuzz_spec, ( ( x == ( 1 + -1 ) || x >= ( x * 1 ) ) && sn == x && ( x == ( x + -1 ) || sn >= ( x - sn ) ) ), Passed, Yes, "None",  10,  160.59
115, fuzz_spec, ( sn == x ), Passed, Yes, "[]",  11,  176.65
116, fuzz_spec, ( ( sn >= ( sn - 0 ) || sn > ( x + 0 ) ) && ( x < ( -1 + 0 ) || x >= x ) && x == sn ), Passed, Yes, "None",  11,  182.31
117, fuzz_spec, ( x == ( sn + 0 ) ), Passed, Yes, "[]",  14,  256.94
11, fuzz_spec, ( x < ( 20 + y ) ), Passed, Yes, "[Not(y <= -20 + x)]",  15,  335.47
120, fuzz_spec, ( ( sn <= 8 || sn >= ( sn - sn ) ) && sn <= 8 && ( sn == ( i - 1 ) || sn >= ( sn + 1 ) ) ), Passed, Yes, "[i <= 9]",  26,  662.84
121, fuzz_spec, ( ( i <= ( 8 + 1 ) && sn == ( i - 1 ) ) ), Passed, Yes, "[i <= 9]",  28,  662.32
128, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  168.98
129, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  9,  187.39
12, fuzz_spec, ( x < ( 20 + y ) ), Passed, Yes, "[Not(y <= -20 + x)]",  21,  421.09
130, fuzz_spec, ( ( d3 >= d1 && x1 >= ( d2 * 1 ) ) || ( x1 <= x1 && x2 >= 0 ) ), Failed, Yes, "[Or(And(d3 >= d1, x1 >= d2), x2 >= 0)]",  10,  191.92
131, fuzz_spec, ( ( d1 <= ( x3 + d1 ) && d1 >= ( d1 * d1 ) ) || d1 > ( 1 - x1 ) || d3 < x1 ), Failed, Yes, "[Or(And(0 <= x3, d1 >= d1*d1),
    Not(d1 <= 1 + -1*x1),
    Not(x1 <= d3))]",  13,  311.25
132, fuzz_spec, ( i >= 0 || ( i <= ( 48 - 57 ) && j >= ( 57 + j ) ) ), Passed, Yes, "[i >= 0]",  8,  114.51
133, fuzz_spec, ( ( x > ( 1 + 0 ) && x < 0 ) || ( x <= ( x + 0 ) && n >= ( x + 0 ) ) ), Passed, Yes, "[Or(And(Not(x <= 1), Not(0 <= x)), n >= x)]",  8,  127.85
13, fuzz_spec, ( x <= ( y + 2 ) || ( x >= ( 0 * x ) && y > ( x * 2 ) ) || ( x < ( y + y ) && x < ( 0 + x ) ) ), Passed, Yes, "[Or(x <= 2 + y, And(x >= 0, Not(y <= 2*x)))]",  11,  194.01
14, fuzz_spec, ( ( y <= 0 && y > ( 4 - 0 ) ) || x <= ( y + 2 ) ), Passed, Yes, "[Or(And(y <= 0, Not(y <= 4)), x <= 2 + y)]",  21,  425.57
