Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x <= ( n - 0 ) || x <= ( 1 * 0 ) ) ), Passed, Yes, "[Or(x <= n, x <= 0)]",  10,  31.49
102, fuzz_spec, ( ( n < x && n < 0 ) || ( n > ( 1 * x ) && n == ( n - 0 ) ) || ( n <= ( n * 1 ) && n >= x ) ), Passed, Yes, "[Or(And(Not(x <= n), Not(0 <= n)), n >= x, Not(n <= x))]",  8,  34.05
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  28.29
104, fuzz_spec, ( ( x <= ( n + 0 ) && n == n ) || x <= 0 ), Passed, Yes, "[Or(x <= 0, x <= n)]",  11,  29.63
105, fuzz_spec, ( ( n >= x || x < ( 0 - n ) ) ), Passed, Yes, "[Or(n >= x, Not(-1*n <= x))]",  11,  38.83
10, fuzz_spec, ( y >= ( x - 2 ) ), Passed, Yes, "[y >= -2 + x]",  15,  39.34
114, fuzz_spec, ( ( sn >= ( -1 - x ) && x == ( sn * 1 ) ) || sn == ( -1 - sn ) || ( x > x && sn == ( -1 * x ) ) ), Passed, Yes, "None",  11,  32.06
115, fuzz_spec, ( sn == x ), Passed, Yes, "[]",  9,  33.36
116, fuzz_spec, ( ( x > ( 0 * sn ) || sn <= ( 0 + 0 ) ) && x == sn ), Passed, Yes, "[]",  9,  38.10
117, fuzz_spec, ( ( sn == x && sn > ( -1 + x ) ) ), Passed, Yes, "None",  9,  25.95
11, fuzz_spec, ( y >= ( x - 10 ) || ( x == ( x + 10 ) && y < ( 0 - 10 ) ) ), Passed, Yes, "[y >= -10 + x]",  20,  72.11
120, fuzz_spec, ( ( i == ( 1 + sn ) || i < i ) && ( i <= ( 1 + 8 ) || i <= ( 1 + 1 ) ) ), Passed, Yes, "[Or(sn <= 1, sn <= 8)]",  26,  324.05
121, fuzz_spec, ( ( sn == ( sn + 1 ) || i <= ( 8 + 1 ) ) && i == ( sn + 1 ) ), Passed, Yes, "[sn <= 8]",  32,  278.29
128, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  8,  23.60
129, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  25.60
12, fuzz_spec, ( x < ( 20 + y ) || ( x <= x && x > ( 10 + x ) ) || ( x >= ( 20 + 20 ) && y == ( x + x ) ) ), Passed, Yes, "[Or(And(x >= 40, y == 2*x), Not(y <= -20 + x))]",  26,  88.11
130, fuzz_spec, ( x2 >= 0 || d2 <= ( 0 + x1 ) ), Failed, Yes, "[Or(x2 >= 0, d2 <= x1)]",  11,  55.40
131, fuzz_spec, ( ( x1 >= 1 || x3 >= ( d3 * 0 ) ) ), Failed, Yes, "[Or(x1 >= 1, x3 >= 0)]",  12,  57.92
