Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, hybrid_loop_spec, ( ( n >= x || x == ( 0 * x ) ) ), Passed, Yes, "[Or(n >= x, x == 0)]",  11,  25.01
102, hybrid_loop_spec, ( ( n < 0 || x <= n ) ), Passed, Yes, "[Or(Not(0 <= n), x <= n)]",  23,  43.18
103, hybrid_loop_spec, ( x <= ( 100 + 0 ) || x > ( x + 0 ) ), Passed, Yes, "[x <= 100]",  29,  20.41
104, hybrid_loop_spec, ( ( n >= x || x == ( 0 * x ) ) ), Passed, Yes, "[Or(n >= x, x == 0)]",  11,  24.70
105, hybrid_loop_spec, ( ( n < 0 || x <= n ) ), Passed, Yes, "[Or(Not(0 <= n), x <= n)]",  23,  43.11
10, hybrid_loop_spec, ( y > ( x - 4 ) ), Passed, Yes, "[Not(y <= -4 + x)]",  17,  60.10
114, hybrid_loop_spec, ( x >= ( x * 1 ) && x == sn ), Passed, Yes, "[]",  17,  19.20
115, hybrid_loop_spec, ( ( x <= ( x * sn ) && x == sn ) || ( sn < ( sn - 1 ) && x <= sn ) ), Passed, Yes, "[sn <= sn*sn]",  16,  17.73
116, hybrid_loop_spec, ( x >= ( x * 1 ) && x == sn ), Passed, Yes, "[]",  17,  19.24
117, hybrid_loop_spec, ( ( x <= ( x * sn ) && x == sn ) || ( sn < ( sn - 1 ) && x <= sn ) ), Passed, Yes, "[sn <= sn*sn]",  16,  17.66
11, hybrid_loop_spec, ( ( x < ( 20 + y ) && y >= ( 0 * 20 ) ) ), Passed, Yes, "[Not(y <= -20 + x), y >= 0]",  23,  203.23
121, hybrid_loop_spec, ( ( sn > 8 || i == ( sn + 1 ) ) && ( sn < ( 8 + 1 ) || sn <= ( 8 - sn ) ) ), Passed, Yes, "[Or(Not(sn <= 8), i == 1 + sn), Or(Not(9 <= sn), sn <= 4)]",  19,  94.89
122, hybrid_loop_spec, ( ( sn >= ( 0 + 0 ) || size >= ( 2 + size ) ) && i == ( sn + 1 ) && ( sn <= size || i <= ( 0 + 1 ) ) ), Passed, Yes, "[sn >= 0, Or(sn <= size, sn <= 0)]",  18,  454.02
128, hybrid_loop_spec, ( ( y < 1 && y >= ( 1 * 1 ) ) || ( x > ( 1 - 1 ) && y <= ( x * y ) ) ), Passed, Yes, "[Or(And(Not(1 <= y), y >= 1), And(Not(x <= 0), y <= x*y))]",  11,  14.21
