Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, hybrid_pre_spec, ( ( x > ( x + n ) || n >= x ) ), Passed, Yes, "[Or(Not(0 <= n), n >= x)]",  14,  49.09
102, hybrid_pre_spec, ( n > ( x - 1 ) || x <= ( 0 - 0 ) || ( x >= ( x + 1 ) && x == 1 ) ), Passed, Yes, "[Or(Not(n <= -1 + x), x <= 0)]",  14,  36.32
103, hybrid_pre_spec, ( ( x <= 100 || x <= 2 ) && ( x > 100 || x <= 100 ) ), Passed, Yes, "[Or(x <= 2, x <= 100)]",  19,  25.16
104, hybrid_pre_spec, ( ( n >= ( x + 1 ) && x >= ( x - 1 ) ) || x <= ( 0 * 2 ) || n == ( x - 0 ) ), Passed, Yes, "[Or(x <= 0, n >= 1 + x, n == x)]",  13,  21.95
105, hybrid_pre_spec, ( ( x <= n && x >= ( n + 1 ) ) || x <= n || ( x <= ( 0 - x ) && x == ( 0 - 0 ) ) ), Passed, Yes, "[Or(x <= n, And(x <= n, x >= 1 + n), And(x <= 0, x == 0))]",  11,  30.24
10, hybrid_pre_spec, ( ( y <= ( y + 0 ) && x < ( 4 + y ) ) ), Passed, Yes, "[Not(y <= -4 + x)]",  11,  14.95
114, hybrid_pre_spec, ( ( x >= sn || sn < ( 1 + 0 ) ) && ( x == ( sn * 1 ) || sn > sn ) ), Passed, Yes, "[]",  10,  16.36
115, hybrid_pre_spec, ( ( x >= sn || sn < ( 1 + 0 ) ) && ( x == ( sn * 1 ) || sn > sn ) ), Passed, Yes, "[]",  10,  16.36
116, hybrid_pre_spec, ( sn >= ( x * 0 ) && x == sn ), Passed, Yes, "[sn >= 0]",  10,  20.30
117, hybrid_pre_spec, ( sn >= ( x * 0 ) && x == sn ), Passed, Yes, "[sn >= 0]",  10,  20.35
11, hybrid_pre_spec, ( y >= ( x - 10 ) ), Passed, Yes, "[y >= -10 + x]",  17,  38.83
120, hybrid_pre_spec, ( sn <= ( 8 * 1 ) && i == ( sn + 1 ) ), Passed, Yes, "[sn <= 8]",  26,  278.96
121, hybrid_pre_spec, ( i == ( 1 + sn ) && sn <= 8 ), Passed, Yes, "[sn <= 8]",  26,  333.35
128, hybrid_pre_spec, ( x > ( y - y ) || y >= ( 1 + x ) ), Passed, Yes, "[Or(Not(x <= 0), y >= 1 + x)]",  14,  58.88
129, hybrid_pre_spec, ( y > ( 1 + x ) || x >= 1 ), Passed, Yes, "[Or(Not(y <= 1 + x), x >= 1)]",  13,  118.32
12, hybrid_pre_spec, ( x < ( y + 20 ) ), Passed, Yes, "[Not(y <= -20 + x)]",  8,  19.17
132, hybrid_pre_spec, ( i <= ( i * 48 ) ), Passed, Yes, "[i >= 0]",  29,  99.31
133, hybrid_pre_spec, ( x <= n && n <= n ), Passed, Yes, "[x <= n]",  12,  15.97
13, hybrid_pre_spec, ( ( x >= ( 1 + 4 ) || y > ( x - 4 ) ) ), Passed, Yes, "[Or(x >= 5, Not(y <= -4 + x))]",  13,  30.94
14, hybrid_pre_spec, ( y >= ( x - 2 ) ), Passed, Yes, "[y >= -2 + x]",  16,  97.90
15, hybrid_pre_spec, ( n > m || ( m < ( 2 * 2 ) && x > ( 2 + x ) ) || n >= ( m + n ) ), Passed, Yes, "[Or(Not(n <= m), 0 >= m)]",  18,  45.89
16, hybrid_pre_spec, ( ( m == 1 && x > n ) || ( x >= 0 && m >= 0 ) ), Passed, Yes, "[Or(And(x >= 0, m >= 0), And(m == 1, Not(x <= n)))]",  21,  95.38
17, hybrid_pre_spec, ( ( m < n && x <= x ) || m <= 1 ), Passed, Yes, "[Or(Not(n <= m), m <= 1)]",  10,  52.68
18, hybrid_pre_spec, ( ( m >= ( 0 + 1 ) && x >= 1 ) ), Passed, Yes, "[m >= 1, x >= 1]",  19,  345.82
19, hybrid_pre_spec, ( n > m || ( m < ( 2 * 2 ) && x > ( 2 + x ) ) || n >= ( m + n ) ), Passed, Yes, "[Or(Not(n <= m), 0 >= m)]",  18,  46.00
20, hybrid_pre_spec, ( ( m == 1 && x > n ) || ( x >= 0 && m >= 0 ) ), Passed, Yes, "[Or(And(x >= 0, m >= 0), And(m == 1, Not(x <= n)))]",  21,  97.87
21, hybrid_pre_spec, ( ( m < n && n == n ) || m < 2 ), Passed, Yes, "[Or(Not(n <= m), Not(2 <= m))]",  13,  74.24
22, hybrid_pre_spec, ( ( n == ( n + 1 ) || m >= ( 1 - m ) ) && x >= m ), Passed, Yes, "[m >= 1, x >= m]",  15,  178.20
25, hybrid_pre_spec, ( x >= ( x - x ) || x == 2 ), Passed, Yes, "[Or(x == 2, x >= 0)]",  18,  20.95
28, hybrid_pre_spec, ( ( x <= n && x >= ( 0 - 0 ) ) || x == ( n + 0 ) ), Passed, Yes, "[Or(And(x <= n, x >= 0), x == n)]",  13,  54.44
29, hybrid_pre_spec, ( ( n < ( 0 * 0 ) || x > ( x + 0 ) || x >= ( x * 0 ) ) ), Passed, Yes, "[Or(Not(0 <= n), x >= 0)]",  11,  41.78
30, hybrid_pre_spec, ( x >= ( x - x ) || x == 2 ), Passed, Yes, "[Or(x == 2, x >= 0)]",  18,  20.96
33, hybrid_pre_spec, ( ( n == x || x >= ( 0 - 0 ) ) && n >= ( n - 0 ) ), Passed, Yes, "[Or(n == x, x >= 0)]",  13,  34.01
34, hybrid_pre_spec, ( x >= ( 0 - 0 ) || ( x > ( 0 * 0 ) && n <= ( 1 + x ) ) || x == ( n - 0 ) ), Passed, Yes, "[Or(And(Not(x <= 0), n <= 1 + x), x == n, x >= 0)]",  13,  63.47
35, hybrid_pre_spec, ( ( c >= ( c - c ) && c <= 40 ) ), Passed, Yes, "[c >= 0, c <= 40]",  17,  23.56
36, hybrid_pre_spec, ( c <= ( 40 * 1 ) || ( c > ( 2 * c ) && c > ( 2 + c ) ) ), Passed, Yes, "[c <= 40]",  10,  18.92
37, hybrid_pre_spec, ( c == ( c - 2 ) || c >= ( c * 1 ) ), Passed, Yes, "[]",  2,  11.84
38, hybrid_pre_spec, ( ( c >= ( 0 - 0 ) || n > n ) ), Passed, Yes, "[c >= 0]",  10,  30.72
39, hybrid_pre_spec, ( c == c ), Passed, Yes, "[]",  4,  13.22
3, hybrid_pre_spec, ( ( x <= ( 2 - 1 ) || z >= ( 1 * y ) ) && ( x >= ( 2 * 2 ) || x < ( 2 + 2 ) ) ), Passed, Yes, "[Or(x <= 1, z >= y), Or(Not(4 <= x), x >= 4)]",  29,  351.86
40, hybrid_pre_spec, ( c <= ( c + c ) || c < ( c + c ) || ( n == ( n - 2 ) && n > ( 1 - 1 ) ) ), Passed, Yes, "[Or(Not(c <= 0), c >= 0)]",  13,  19.62
41, hybrid_pre_spec, ( ( c < ( n - 0 ) && c < ( 2 - 1 ) ) ), Passed, Yes, "[Not(n <= c), Not(1 <= c)]",  9,  13.66
42, hybrid_pre_spec, ( n > ( n * c ) && ( c < ( 2 + c ) || n >= ( n + 0 ) ) ), Passed, Yes, "[Not(n <= c*n)]",  1,  10.45
43, hybrid_pre_spec, ( ( n == n && c < ( 0 + n ) ) ), Passed, Yes, "[Not(n <= c)]",  7,  14.79
44, hybrid_pre_spec, ( ( n == n && c < ( 0 + n ) ) ), Passed, Yes, "[Not(n <= c)]",  7,  14.80
45, hybrid_pre_spec, ( c >= ( 0 * 0 ) || n == ( 1 - n ) || ( c <= ( 1 - 2 ) && c == 2 ) ), Passed, Yes, "[Or(And(c <= -1, c == 2), c >= 0)]",  10,  21.96
46, hybrid_pre_spec, ( ( n > ( 1 - n ) && n > ( c - 1 ) ) ), Passed, Yes, "[Not(n <= 0), Not(n <= -1 + c)]",  19,  73.21
47, hybrid_pre_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  11.86
48, hybrid_pre_spec, ( ( n < ( c - 1 ) && c > n ) || n >= ( 0 * n ) ), Passed, Yes, "[Or(n >= 0, And(Not(c <= 1 + n), Not(c <= n)))]",  8,  16.53
49, hybrid_pre_spec, ( ( n < ( c - 1 ) && c > n ) || n >= ( 0 * n ) ), Passed, Yes, "[Or(n >= 0, And(Not(c <= 1 + n), Not(c <= n)))]",  8,  16.47
4, hybrid_pre_spec, ( ( z > ( x - 1 ) && z <= ( 1 - x ) ) || x <= ( 1 - x ) || ( x > ( x - 1 ) && y <= ( 1 * z ) ) ), Passed, Yes, "[Or(x <= 0, And(Not(z <= -1 + x), z <= 1 + -1*x), y <= z)]",  28,  116.54
50, hybrid_pre_spec, ( ( c >= ( c - c ) && c <= 4 ) ), Passed, Yes, "[c >= 0, c <= 4]",  17,  23.60
51, hybrid_pre_spec, ( c <= ( 4 * 1 ) || ( c > ( 2 * c ) && c > ( 2 + c ) ) ), Passed, Yes, "[c <= 4]",  10,  18.97
52, hybrid_pre_spec, ( c == ( c - 2 ) || c >= ( c * 1 ) ), Passed, Yes, "[]",  2,  11.85
53, hybrid_pre_spec, ( c >= ( 1 - 0 ) || ( c > 2 && c < ( n + n ) ) || ( c == ( 0 * 2 ) && n >= ( c * 2 ) ) ), Passed, Yes, "[Or(c >= 1,
    And(Not(c <= 2), Not(2*n <= c)),
    And(c == 0, n >= 2*c))]",  13,  32.32
54, hybrid_pre_spec, ( ( n > n || n > c ) ), Passed, Yes, "[Not(n <= c)]",  10,  18.15
55, hybrid_pre_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  11.90
56, hybrid_pre_spec, ( n <= ( c - 2 ) || n > c ), Passed, Yes, "[Or(Not(n <= c), n <= -2 + c)]",  8,  20.06
57, hybrid_pre_spec, ( n <= ( c - 2 ) || n > c ), Passed, Yes, "[Or(n <= -2 + c, Not(n <= c))]",  8,  20.10
58, hybrid_pre_spec, ( c >= ( 0 * 0 ) || n == ( 1 - n ) || ( c <= ( 1 - 2 ) && c == 2 ) ), Passed, Yes, "[Or(And(c <= -1, c == 2), c >= 0)]",  10,  21.91
59, hybrid_pre_spec, ( ( n > ( 1 - n ) && n > ( c - 1 ) ) ), Passed, Yes, "[Not(n <= 0), Not(n <= -1 + c)]",  19,  73.36
5, hybrid_pre_spec, ( y < ( z + 1 ) || y >= ( y + x ) ), Passed, Yes, "[Or(Not(z <= -1 + y), 0 >= x)]",  23,  407.18
60, hybrid_pre_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  11.85
63, hybrid_pre_spec, ( ( x > ( 0 - 10 ) && x >= ( x - y ) ) || x < ( y + 2 ) || x <= 1 ), Passed, Yes, "[Or(Not(y <= -2 + x), And(Not(x <= -10), y >= 0), x <= 1)]",  20,  106.99
64, hybrid_pre_spec, ( y <= ( 10 - 1 ) || ( y > ( 1 + y ) && y >= ( 2 + 1 ) ) || x < ( 10 * 1 ) ), Passed, Yes, "[Or(Not(10 <= x), y <= 9)]",  15,  15.34
65, hybrid_pre_spec, ( ( y <= ( 2 - 0 ) && y >= ( x - x ) ) || x <= ( 1 * 1 ) || y >= ( 2 - 0 ) ), Passed, Yes, "[Or(x <= 1, And(y <= 2, y >= 0), y >= 2)]",  18,  89.98
66, hybrid_pre_spec, ( y <= ( 100 - 1 ) || ( y > ( 1 + y ) && y >= ( 2 + 1 ) ) || x < ( 100 * 1 ) ), Passed, Yes, "[Or(y <= 99, Not(100 <= x))]",  15,  15.56
67, hybrid_pre_spec, ( y >= ( n * 0 ) || x <= 1 || ( n < ( y * n ) && x < ( y * y ) ) ), Passed, Yes, "[Or(x <= 1, y >= 0, And(Not(n*y <= n), Not(y*y <= x)))]",  26,  309.36
68, hybrid_pre_spec, ( y >= ( y * x ) || ( n > ( 0 - 0 ) && x <= ( 1 * n ) ) || x <= ( 1 * n ) ), Passed, Yes, "[Or(And(Not(n <= 0), x <= n), y >= x*y, x <= n)]",  21,  233.30
69, hybrid_pre_spec, ( ( y > ( y - 1 ) && y <= ( y + y ) ) || ( x == ( 2 - x ) && y > ( y * 2 ) ) ), Passed, Yes, "[Or(y >= 0, And(x == 1, Not(y >= 0)))]",  25,  186.03
6, hybrid_pre_spec, ( ( z >= ( y - 0 ) || x <= ( 0 - 0 ) ) ), Passed, Yes, "[Or(z >= y, x <= 0)]",  16,  159.14
70, hybrid_pre_spec, ( y == ( 0 + 0 ) || x <= n || ( y <= ( y - n ) && n < 1 ) ), Passed, Yes, "[Or(x <= n, And(n <= 0, Not(1 <= n)), y == 0)]",  28,  272.26
71, hybrid_pre_spec, ( z > 36 ), Passed, Yes, "[Not(z <= 36)]",  8,  15.46
73, hybrid_pre_spec, ( y >= 1 || ( z <= ( c - 0 ) && c > c ) || c < ( 36 + z ) ), Passed, Yes, "[Or(y >= 1, Not(z <= -36 + c))]",  12,  17.58
74, hybrid_pre_spec, ( z > 36 ), Passed, Yes, "[Not(z <= 36)]",  7,  14.18
76, hybrid_pre_spec, ( y < ( y + 1 ) ), Passed, Yes, "[]",  1,  10.44
77, hybrid_pre_spec, ( x >= ( 1 * y ) ), Passed, Yes, "[x >= y]",  15,  21.41
78, hybrid_pre_spec, ( i >= 0 ), Passed, Yes, "[i >= 0]",  12,  27.30
